iter	Passed	Remaining
0	0	78
1	1	73
2	2	69
3	2	63
4	3	63
5	3	61
6	4	60
7	5	58
8	5	57
9	6	56
10	6	54
11	7	53
12	7	52
13	8	52
14	9	51
15	9	50
16	10	49
17	10	48
18	11	47
19	11	47
20	12	46
21	12	45
22	13	45
23	14	44
24	14	43
25	15	43
26	15	42
27	16	41
28	16	41
29	17	40
30	17	40
31	18	39
32	19	38
33	19	38
34	20	37
35	20	36
36	21	36
37	21	35
38	22	35
39	22	34
40	23	33
41	23	32
42	24	32
43	24	31
44	25	30
45	25	30
46	26	29
47	27	29
48	28	29
49	28	28
50	29	28
51	29	27
52	30	27
53	31	26
54	31	25
55	31	25
56	32	24
57	33	23
58	33	23
59	34	22
60	34	22
61	35	21
62	36	21
63	36	20
64	37	20
65	37	19
66	38	18
67	39	18
68	39	17
69	40	17
70	42	17
71	43	16
72	44	16
73	45	15
74	46	15
75	46	14
76	47	14
77	48	13
78	48	12
79	49	12
80	50	11
81	50	11
82	51	10
83	51	9
84	52	9
85	52	8
86	53	7
87	54	7
88	54	6
89	55	6
90	56	5
91	56	4
92	57	4
93	57	3
94	58	3
95	58	2
96	59	1
97	59	1
98	60	0
99	61	0
